id,building,room,days,start_time,end_time
1,AMD,153,TR,0900AM,1015AM
2,ALP,236,TR,1200PM,0115PM
3,ALP,236,TR,0130PM,0245PM
4,ALP,236,TR,0430PM,0545PM
5,ALP,236,MW,1200PM,0115PM
6,ALP,236,MW,0130PM,0245PM
7,AMD,153,TR,0300PM,0415PM
8,ALP,232,MW,0600PM,0715PM
9,TAH,1007,MW,0430PM,0545PM
10,ALP,235,TR,0600PM,0715PM
11,WEB,ONLINE,R,1030AM,1145AM
12,LIB,3021,TR,1030AM,1145AM
13,WEB,ONLINE,R,1200PM,0115PM
14,LIB,3021,TR,1200PM,0115PM
15,LIB,3021,MW,0430PM,0545PM
16,LIB,3021,MW,0600PM,0715PM
17,LIB,3021,TR,0900AM,1015AM
18,WEB,ONLINE,R,0900AM,1015AM
19,TAH,1007,MW,0900AM,1015AM
20,WEB,ONLINE,MW,0900AM,1015AM
21,ALP,232,MW,1200PM,0115PM
22,WEB,ONLINE,MW,1200PM,0115PM
23,ALP,232,MW,0300PM,0415PM
24,ALP,232,MW,0430PM,0545PM
25,ALP,235,MW,0600PM,0715PM
26,BRH,104,TR,1200PM,0115PM
27,TAH,1026,MW,1200PM,0115PM
28,TAH,1026,MW,0130PM,0245PM
29,MND,2004,MW,0300PM,0415PM
30,TAH,1026,MW,0300PM,0415PM
31,WEB,ONLINE,MW,0300PM,0415PM
32,ALP,232,TR,1200PM,0115PM
33,ALP,232,TR,0130PM,0245PM
34,BRH,104,MW,0430PM,0545PM
35,ARC,1016,MW,1200PM,0115PM
36,ARC,1016,MW,0130PM,0245PM
37,ARC,1016,MW,0430PM,0545PM
38,ALP,232,TR,1030AM,1145AM
39,ALP,204,TR,0730AM,0845AM
40,WEB,ONLINE,TR,0730AM,0845AM
41,WEB,ONLINE,TR,0900AM,1015AM
42,ALP,204,TR,0900AM,1015AM
43,ALP,236,MW,0300PM,0415PM
44,EUR,107,MW,0430PM,0545PM
45,WEB,ONLINE,TR,1030AM,1145AM
46,ALP,204,TR,1030AM,1145AM
47,MND,1003,F,0100PM,0150PM
48,MND,1005,M,0200PM,0250PM
49,WEB,ONLINE,F,0800AM,0850AM
50,BNC,1025,MW,0800AM,0850AM
51,WEB,ONLINE,F,0900AM,0950AM
52,BNC,1025,MW,0900AM,0950AM
53,ALP,235,MW,1200PM,0115PM
54,ALP,235,TR,1200PM,0115PM
55,CLV,145,TR,0530PM,0645PM
56,AMD,150,TR,0900AM,1015AM
57,DLN,2012,MW,0900AM,1015AM
